service_tier,price_sgd,turnaround_days,includes,notes
Battery Replacement,35,3–5,"New OEM battery, water resistance test (basic), function check",Quartz movements only
Regulation Service,85,7–10,"Movement cleaning, regulation to +/-5 s/day, timing machine report",Automatic movements only
Full Service — Standard,160,14–21,"Full movement disassembly, ultrasonic cleaning, lubrication, regulation, water resistance test (100m), case polish (light), new gaskets",Recommended every 3–5 years
Full Service — Premium,220,14–21,"All Standard items + case deep polish, crystal replacement (if scratched), new crown and pushers if worn",Includes 12-month service warranty
Crystal Replacement,65,5–7,"OEM sapphire crystal replacement, water resistance test",
Case & Bracelet Polish,45,3–5,"Brushed finish restoration, polished surface refinement",Can be added to any service tier
Strap/Bracelet Replacement (fitting only),10,1,Fitting of customer-supplied or Boldr strap,
Water Resistance Re-test,20,1–2,"Pressure test to rated depth, gasket inspection",
International Service (shipping surcharge),25,Add 7–14 days,Insured return shipping,Customer pays inbound shipping; Boldr covers return
Service Warranty Extension (12 months),30,N/A,Covers re-regulation and minor adjustments post-service,Must be purchased at time of service
